月份,城市名称,城市编码,门店名称,门店编码,开业日期,主营业务收入,净利润
2025-08,深圳市,0755,平安金融中心店,102301,2025-06-26,264654.76,48283.49
2025-08,深圳市,0755,深业上城店,102289,2025-01-01,351409.47,85567.90
2025-08,深圳市,0755,深圳大悦城店,102299,2025-09-05,0.00,-17376.69
2025-08,深圳市,0755,深圳太子湾K11,102257,2025-04-28,127867.65,-7294.71
2025-08,深圳市,0755,金地威新中心店,102298,2025-08-22,30774.15,-15624.60
2025-08,重庆市,023,重庆光环花园城,102330,2025-09-26,0.00,0.00
2025-08,重庆市,023,龙湖高新天街店,102292,2025-04-30,105796.93,1649.18
2025-09,上海市,021,上海CP静安店,102317,2025-08-17,176593.79,-1083.41
2025-09,北京市,010,中关村领展,102318,2025-08-03,228819.74,-3813.55
2025-09,北京市,010,五棵松万达店,102319,2025-08-12,159630.95,-16597.08
2025-09,北京市,010,北京国贸商城店,102334,2025-10-28,0.00,-387.00
2025-09,北京市,010,悠唐购物中心,102315,2025-06-24,230218.25,-9282.63
2025-09,北京市,010,西铁营万达,102306,2025-07-08,135225.00,-49974.36
2025-09,北京市,010,通州万象汇店,102295,2025-06-17,132087.36,-68320.35
2025-09,南京市,025,华采天地店,102331,2025-09-30,5525.80,-25816.17
2025-09,广州市,020,IFC国金天地,102314,2025-06-14,188228.92,-37202.58
2025-09,成都市,028,LACADIERE花园城,102313,2025-09-09,102636.83,12994.45
2025-09,成都市,028,in99银泰中心店,102296,2025-05-07,430021.90,86295.24
2025-09,成都市,028,中粮香颂丽都悦街店,102293,2025-04-29,86448.80,-24487.08
2025-09,成都市,028,双流万达店,102321,2025-07-31,237842.21,55372.49
2025-09,成都市,028,城南优品道店,102329,2025-09-17,76054.77,-35.09
2025-09,成都市,028,成都IFS购物中心,102320,2025-11-06,0.00,-1000.00
2025-09,成都市,028,财富又一城店,102288,2025-04-25,187638.02,34903.67
2025-09,成都市,028,金楠天街店,102312,2025-06-16,78991.26,-15840.68
2025-09,杭州市,0571,亚奥万象天地店,102328,2025-09-26,26025.10,-23907.84
2025-09,杭州市,0571,杭州龙湖滨江天街,102333,2025-09-29,5254.30,-62729.17
2025-09,深圳市,0755,南山京基百纳,102307,2025-08-03,75574.40,-19380.63
2025-09,深圳市,0755,平安金融中心店,102301,2025-06-26,237334.42,12824.26
2025-09,深圳市,0755,深业上城店,102289,2025-01-01,326399.46,72823.15
2025-09,深圳市,0755,深圳大悦城店,102299,2025-09-05,121542.80,1041.74
2025-09,深圳市,0755,深圳太子湾K11,102257,2025-04-28,112248.52,-12909.91
2025-09,深圳市,0755,金地威新中心店,102298,2025-08-22,95908.90,3888.54
2025-09,重庆市,023,重庆光环花园城,102330,2025-09-26,12953.75,-10147.96
2025-09,重庆市,023,龙湖高新天街店,102292,2025-04-30,99022.81,-11483.69
2025-10,上海市,021,上海CP静安店,102317,2025-08-17,185491.63,8954.49
2025-10,上海市,021,上海荟聚店,102340,2025-11-28,,0.00
2025-10,北京市,010,中关村领展,102318,2025-08-03,222237.52,7408.80
2025-10,北京市,010,五棵松万达店,102319,2025-08-12,146796.42,-24352.00
2025-10,北京市,010,北京国贸商城店,102334,2025-10-28,27463.30,-44976.53
2025-10,北京市,010,北京银座和谐广场店,102338,2025-11-20,269.10,-2560.20
2025-10,北京市,010,北京龙湖亦庄天街店,102335,2025-12-04,,0.00
2025-10,北京市,010,悠唐购物中心,102315,2025-06-24,201056.37,16281.47
2025-10,北京市,010,西铁营万达,102306,2025-07-08,130016.40,-20941.71
2025-10,北京市,010,通州万象汇店,102295,2025-06-17,105845.49,-62979.74
2025-10,南京市,025,华采天地店,102331,2025-09-30,118812.96,-9964.53
2025-10,广州市,020,IFC国金天地,102314,2025-06-15,184235.05,5039.13
2025-10,成都市,028,LACADIERE花园城,102313,2025-09-09,155064.65,31602.13
2025-10,成都市,028,in99银泰中心店,102296,2025-05-07,407997.57,88802.98
2025-10,成都市,028,中粮香颂丽都悦街店,102293,2025-04-29,76909.52,-18953.19
2025-10,成都市,028,双流万达店,102321,2025-07-31,165074.56,33615.77
2025-10,成都市,028,城南优品道店,102329,2025-09-17,162881.06,36894.16
2025-10,成都市,028,成都IFS购物中心,102320,2025-12-09,,-100.00
2025-10,成都市,028,科华路王府井店,102063,2025-11-17,43388.91,-1068.02
2025-10,成都市,028,财富又一城店,102288,2025-04-25,181037.04,32257.65
2025-10,成都市,028,金楠天街店,102312,2025-06-17,79849.55,11686.17
2025-10,杭州市,0571,亚奥万象天地店,102328,2025-09-26,160662.49,20868.44
2025-10,杭州市,0571,杭州大悦城,102339,2025-10-29,9008.00,-22247.94
2025-10,杭州市,0571,杭州龙湖滨江天街,102333,2025-09-30,110827.66,-23215.62
2025-10,深圳市,0755,南山京基百纳,102307,2025-08-03,66921.00,-23786.89
2025-10,深圳市,0755,平安金融中心店,102301,2025-06-26,240288.01,39609.40
2025-10,深圳市,0755,深业上城店,102289,2025-05-03,345232.88,79494.76
2025-10,深圳市,0755,深圳大悦城店,102299,2025-09-06,162950.05,36285.60
2025-10,深圳市,0755,深圳太子湾K11,102257,2025-04-28,128060.97,4976.33
2025-10,深圳市,0755,金地威新中心店,102298,2025-08-23,97626.75,-17904.66
2025-10,绵阳市,0816,四川常知乐健康科技有限公司,01,2025-11-26,,-75001.92
2025-10,重庆市,023,重庆光环花园城,102330,2025-09-26,83028.70,19371.76
2025-10,重庆市,023,龙湖高新天街店,102292,2025-04-30,93971.95,1489.82
2025-11,上海市,021,上海CP静安店,102317,2025-08-17,162694.82,8227.09
2025-11,上海市,021,上海荟聚店,102340,2025-11-28,11690.10,-26172.55
2025-11,北京市,010,中关村领展,102318,2025-08-03,244694.08,22721.18
2025-11,北京市,010,五棵松万达店,102319,2025-08-12,161175.65,-19702.67
2025-11,北京市,010,北京北辰荟,102343,2025-12-29,,0.00
2025-11,北京市,010,北京国贸商城店,102334,2025-10-28,280456.02,22921.50
2025-11,北京市,010,北京银座和谐广场店,102338,2025-11-20,43220.62,-31508.10
2025-11,北京市,010,北京龙湖亦庄天街店,102335,2025-12-04,,-23535.81
2025-11,北京市,010,悠唐购物中心,102315,2025-06-24,206321.96,10999.15
2025-11,北京市,010,西铁营万达,102306,2025-07-08,143831.90,-5045.95
